Дата,Серебро (Банк России)
6/19/2019,30.81
6/18/2019,30.56
6/17/2019,31.13
6/15/2019,31.13
6/14/2019,30.74
6/12/2019,30.48
6/11/2019,30.72
6/10/2019,31.18
6/8/2019,31.18
6/7/2019,31.37
6/6/2019,31.07
6/5/2019,30.84
6/4/2019,30.99
6/3/2019,30.44
6/1/2019,30.44
5/31/2019,30.12
5/30/2019,30.00
5/29/2019,30.05
5/28/2019,30.16
5/27/2019,30.22
5/25/2019,30.22
5/24/2019,30.02
5/23/2019,29.90
5/22/2019,29.94
5/21/2019,29.89
5/20/2019,30.09
5/18/2019,30.09
5/17/2019,30.71
5/16/2019,30.89
5/15/2019,30.98
5/14/2019,30.86
5/9/2019,31.31
5/8/2019,31.09
5/7/2019,30.78
5/1/2019,31.14
4/30/2019,31.14
4/29/2019,31.20
4/27/2019,31.20
4/26/2019,30.91
4/25/2019,30.45
4/24/2019,30.71
4/23/2019,30.67
4/22/2019,30.75
4/20/2019,30.75
4/19/2019,30.81
4/18/2019,30.84
4/17/2019,30.87
4/16/2019,30.85
4/15/2019,31.25
4/13/2019,31.25
4/12/2019,31.39
4/11/2019,31.73
4/10/2019,31.77
4/9/2019,31.81
4/8/2019,31.95
4/6/2019,31.95
4/5/2019,31.68
4/4/2019,31.77
4/3/2019,31.63
4/2/2019,31.70
4/1/2019,31.62
3/30/2019,31.62
3/29/2019,32.08
3/28/2019,32.06
3/27/2019,32.03
3/26/2019,32.06
3/25/2019,31.86
3/23/2019,31.86
3/22/2019,31.40
3/21/2019,31.85
3/20/2019,31.80
3/19/2019,31.93
3/18/2019,32.04
3/16/2019,32.04
3/15/2019,32.63
3/14/2019,32.57
3/13/2019,32.34
3/12/2019,32.11
3/8/2019,32.01
3/7/2019,31.99
3/6/2019,32.07
3/5/2019,32.92
3/4/2019,33.46
3/2/2019,33.46
3/1/2019,33.60
2/28/2019,33.47
2/27/2019,33.66
2/26/2019,33.30
2/25/2019,33.51
2/23/2019,33.51
2/22/2019,33.79
2/21/2019,33.41
2/20/2019,33.55
