Дата,Индекс МосБиржи нефти и газа
8/15/2019,7382.61
8/14/2019,7416.58
8/13/2019,7554.22
8/12/2019,7573.80
8/9/2019,7568.97
8/8/2019,7601.22
8/7/2019,7545.62
8/6/2019,7578.20
8/5/2019,7476.78
8/2/2019,7567.11
8/1/2019,7702.05
7/31/2019,7699.98
7/30/2019,7664.11
7/29/2019,7683.25
7/26/2019,7622.67
7/25/2019,7577.58
7/24/2019,7527.62
7/23/2019,7575.64
7/22/2019,7505.55
7/19/2019,7545.55
7/18/2019,7546.62
7/17/2019,7629.27
7/16/2019,7803.34
7/15/2019,7784.88
7/12/2019,7862.18
7/11/2019,7905.78
7/10/2019,8001.99
7/9/2019,8026.08
7/8/2019,8000.70
7/5/2019,8031.40
7/4/2019,8065.96
7/3/2019,8024.62
7/2/2019,7980.17
7/1/2019,7969.77
6/28/2019,7895.89
6/27/2019,7900.04
6/26/2019,7859.56
6/25/2019,7787.86
6/24/2019,7807.50
6/21/2019,7843.42
6/20/2019,7880.01
6/19/2019,7764.60
6/18/2019,7801.76
6/17/2019,7736.40
6/14/2019,7748.75
6/13/2019,7827.69
6/11/2019,7875.72
6/10/2019,7773.06
6/7/2019,7735.29
6/6/2019,7760.79
6/5/2019,7716.31
6/4/2019,7788.00
6/3/2019,7863.10
5/31/2019,7694.33
5/30/2019,7688.11
5/29/2019,7598.24
5/28/2019,7485.22
5/27/2019,7518.84
5/24/2019,7486.07
5/23/2019,7507.13
5/22/2019,7515.64
5/21/2019,7441.11
5/20/2019,7304.38
5/17/2019,7291.41
5/16/2019,7296.87
5/15/2019,7212.85
5/14/2019,7260.68
5/13/2019,7108.07
5/10/2019,7104.86
5/8/2019,7185.05
5/7/2019,7261.96
5/6/2019,7316.09
5/3/2019,7318.18
5/2/2019,7302.73
4/30/2019,7297.97
4/29/2019,7322.46
4/26/2019,7346.30
4/25/2019,7280.84
4/24/2019,7279.25
4/23/2019,7307.08
4/22/2019,7307.18
4/19/2019,7226.09
4/18/2019,7224.18
4/17/2019,7238.61
4/16/2019,7217.41
4/15/2019,7131.85
4/12/2019,7196.39
4/11/2019,7170.12
4/10/2019,7209.54
4/9/2019,7209.71
4/8/2019,7204.01
4/5/2019,7150.02
4/4/2019,7171.70
4/3/2019,7181.25
4/2/2019,7176.90
4/1/2019,7185.95
3/29/2019,7125.98
3/28/2019,7075.31
3/27/2019,7046.52
3/26/2019,7092.60
3/25/2019,7083.20
3/22/2019,7111.23
3/21/2019,7144.11
3/20/2019,7120.25
3/19/2019,7059.14
3/18/2019,7013.05
